"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 03월 10일","1,794.51","1,869.88","1,869.88","1,772.25","41.00K","-3.99%"
"2021년 03월 09일","1,869.16","1,835.91","1,869.16","1,814.00","31.72K","1.99%"
"2021년 03월 08일","1,832.76","1,727.86","1,832.76","1,696.88","48.02K","6.23%"
"2021년 03월 07일","1,725.31","1,652.04","1,725.31","1,652.04","36.75K","4.61%"
"2021년 03월 06일","1,649.23","1,528.55","1,649.23","1,528.55","39.78K","7.95%"
"2021년 03월 05일","1,527.82","1,539.58","1,539.58","1,459.25","58.91K","-0.70%"
"2021년 03월 04일","1,538.58","1,567.76","1,572.83","1,538.58","57.77K","-1.88%"
"2021년 03월 03일","1,568.08","1,485.66","1,609.57","1,485.66","37.54K","5.49%"
"2021년 03월 02일","1,486.50","1,570.46","1,570.46","1,458.62","46.43K","-5.31%"
"2021년 03월 01일","1,569.79","1,418.28","1,569.79","1,418.28","46.55K","10.69%"
"2021년 02월 28일","1,418.23","1,457.94","1,457.94","1,353.89","84.53K","-2.74%"
"2021년 02월 27일","1,458.20","1,446.13","1,486.49","1,446.13","45.80K","0.90%"
"2021년 02월 26일","1,445.20","1,482.26","1,482.26","1,444.13","75.85K","-2.30%"
"2021년 02월 25일","1,479.25","1,622.89","1,622.89","1,479.25","47.22K","-8.89%"
"2021년 02월 24일","1,623.51","1,577.40","1,697.74","1,565.86","64.14K","2.89%"
"2021년 02월 23일","1,577.89","1,777.19","1,777.19","1,509.28","130.47K","-11.21%"
"2021년 02월 22일","1,777.10","1,934.82","1,934.82","1,777.10","54.58K","-8.10%"
"2021년 02월 21일","1,933.78","1,915.74","1,956.64","1,915.74","17.14K","0.94%"
"2021년 02월 20일","1,915.74","1,957.69","2,012.66","1,915.74","21.21K","-2.02%"
"2021년 02월 19일","1,955.16","1,938.61","1,955.16","1,915.69","9.34K","0.92%"
